article_id,industry_tag
901550,0
901552,0
901554,0
901556,0
901558,0
901560,1
901566,0
901570,0
901578,0
901582,0
901584,0
901588,1
901592,1
901594,0
901596,0
901598,0
901602,1
901610,0
901612,1
901614,0
901616,0
901618,0
901622,0
901626,0
901628,0
901630,0
901632,0
901634,0
901636,1
901640,0
901642,0
901644,0
901646,0
901648,0
901652,0
901654,1
901656,0
901658,0
901662,0
901664,1
901666,0
901670,0
901674,0
901678,1
901682,0
901686,1
901688,0
901690,0
901692,0
901694,0
901696,0
901698,0
901700,0
901702,1
901704,0
901706,0
901708,0
901710,0
901712,0
901716,0
901718,0
901720,0
901722,1
901724,0
901726,1
901728,0
901730,0
901732,0
901734,1
901736,0
901738,1
901740,1
901742,1
901748,1
901750,1
901752,0
901756,0
901760,1
901762,0
901764,0
901766,0
901768,0
901770,1
901772,0
901774,0
901776,0
901778,1
901780,0
901782,0
901784,0
901788,0
901790,1
901792,0
901794,0
901796,0
901798,0
901800,0
901802,1
901804,1
901812,1
901814,0
901816,1
901824,1
901826,1
901828,1
901830,0
901832,1
901836,0
901838,0
901840,0
901844,0
901848,0
901850,0
901854,0
901856,1
901858,0
901860,0
901862,0
901864,0
901866,0
901868,0
901870,0
901872,1
901874,0
901878,0
901880,0
901882,0
901884,0
901886,0
901888,0
901890,0
901892,1
901894,0
901896,1
901900,0
901902,0
901914,0
901916,1
901918,0
901924,0
901926,0
901928,0
901932,0
901934,0
901936,0
901940,1
901942,0
901944,0
901946,0
901948,1
901950,0
901952,0
901958,0
901960,0
901962,1
901964,0
901968,0
901972,1
901976,0
901978,0
901982,0
901984,0
901988,0
901992,1
901996,0
902000,1
902002,0
902004,0
902006,1
902008,0
902010,1
902014,1
902016,1
902018,1
902020,0
902022,1
902024,0
902026,1
902028,1
902030,0
902032,1
902034,0
902036,0
902038,0
902040,0
902044,0
902046,0
902048,0
902050,1
902054,1
902056,0
902062,1
902064,1
902066,1
902070,1
902074,1
902076,0
902078,1
902080,1
902082,0
902084,0
902086,0
902088,0
902090,0
902092,0
902094,0
902096,0
902098,0
902102,0
902106,0
902108,1
902110,1
902112,0
902114,0
902118,0
902120,0
902124,0
902126,0
902128,0
902132,1
902134,0
902136,0
902138,0
902140,0
902142,0
